ART_ID,ART_Name,ART_Genre,ART_Image
80,TINI,,https://i.scdn.co/image/ab6761610000e5eb43f8f52ac55da2d54fc8fdca
81,Nicki Minaj,,https://i.scdn.co/image/ab6761610000e5eb07a50f0a9a8f11e5a1102cbd
2,Vincent Lima,,https://i.scdn.co/image/ab6761610000e5eb8c56874ed9257fedebd0f0f6
82,August Ponthier,,https://i.scdn.co/image/ab6761610000e5eb62f0eba55b5e972e63fede1c
11,John Mayer,,https://i.scdn.co/image/ab6761610000e5ebe926dd683e1700a6d65bd835
83,Idina Menzel,,https://i.scdn.co/image/ab6761610000e5eb625a308151078e181f38da1f
84,Julia Michaels,,https://i.scdn.co/image/ab6761610000e5eb1b098899f1cc5be055471b4d
85,Patty Loveless,,https://i.scdn.co/image/f067b808ac598d9c57556a75f65404eb82ca4ca0
86,Lucio Dalla,,https://i.scdn.co/image/ab6761610000e5ebd7d620d99f7c9aa8d54c8b82
87,Chris Stapleton,,https://i.scdn.co/image/ab6761610000e5eba0c87c8f329b436eac8b9784
88,"Lee ""Scratch"" Perry",,https://i.scdn.co/image/ab6772690000c46cc18dc94c6c83061fedaf830c
89,Fleet Foxes,,https://i.scdn.co/image/ab6761610000e5eb7d2e812e63d6df77ee087b47
90,Quavo,,https://i.scdn.co/image/ab6761610000e5ebd52229f479361a2375f6021c
91,John Rapson,,https://i.scdn.co/image/ab67616d0000b2734e2bdd9cb09dc5e0c4d214f4
92,BTS,,https://i.scdn.co/image/ab6761610000e5ebf80ec63ea7a0ef0fba60957d
93,Lauren Daigle,,https://i.scdn.co/image/ab6761610000e5eb9db9d200f3560f487a9c5020
94,Fred Lassen,,
95,Lee Ann Womack,,https://i.scdn.co/image/ab6761610000e5eb86a12d477e7e1cb4e4b26caa
96,Brian McKnight,,https://i.scdn.co/image/ab6761610000e5ebccd9085c5dbc5f5a991ae59c
97,Kirk Franklin,,https://i.scdn.co/image/ab6761610000e5ebe99c343236f3ca83febdff66
98,Ty Dolla $ign,,https://i.scdn.co/image/ab6761610000e5eb4ef6e245168c33922bc6df1a
16,Cody Johnson,,https://i.scdn.co/image/ab6761610000e5ebb1fa84619efb4bdf4f5e9c4b
99,Ashley Anderson,,https://i.scdn.co/image/ab67616d0000b2738258d3dbc29022c65346664b
100,Tiffany Hudson,,https://i.scdn.co/image/ab6761610000e5ebc204911215941171bdef22fa
101,Jerry Douglas,,https://i.scdn.co/image/ab6761610000e5ebe80bb44f46b56c031f836389
102,HARDY,,https://i.scdn.co/image/ab6761610000e5ebaed339624606affc06966a92
103,JP Plunier,,
104,Jimmy Buffett,,https://i.scdn.co/image/ab6761610000e5ebc51b2d9deea2b3cc8360828d
105,Claudia Brant,,https://i.scdn.co/image/ab6761610000e5eb49b7d77876e97e0ea9e17132
106,Carrie Underwood,,https://i.scdn.co/image/ab6761610000e5ebd045f0bbfc6ca6d1986161b8
107,Lisa Gerrard,,https://i.scdn.co/image/e9210a0a99eab042304456351ea0bd97a8788fe5
108,Joshua Bell,,https://i.scdn.co/image/ab6761610000e5ebe2af39a1cde5a1a46876fcfb
109,Jamie Jackson,,
110,Matt Costa,,https://i.scdn.co/image/ab6761610000e5ebaeffc0dea7c7cc09b1f02cac
111,Kristie Dale Sanders,,
112,The American Boychoir,,https://i.scdn.co/image/ab67616d0000b273dba50f3b04f98946ab239c63
113,DJ Tropikal,,
114,Hans Zimmer,,https://i.scdn.co/image/ab6761610000e5eb371632043a8c12bb7eeeaf9d
115,Laura Pausini,,https://i.scdn.co/image/ab6761610000e5eb13bfc3576c7b50e25a1fbc66
116,We Are KING,,https://i.scdn.co/image/ab6761610000e5eb25be8d51c6a5499a2b0116e8
117,Crowder,,https://i.scdn.co/image/ab6761610000e5eb6f699077c8f0b4f655250c4c
118,Nightmares On Wax,,https://i.scdn.co/image/ab6761610000e5eb574ca230c274dff576c580b0
119,Gigi Perez,,https://i.scdn.co/image/ab6761610000e5ebd58f13475be93b37bb63893f
120,Elyanna,,https://i.scdn.co/image/ab6761610000e5eb88b64e15982a3e8177913573
121,Foy Vance,,https://i.scdn.co/image/ab6761610000e5eb46515645d7dc0aa37147190b
122,Old Dominion,,https://i.scdn.co/image/ab6761610000e5eb54d40054752b2770df0a646f
123,Nicholas Christopher,,https://i.scdn.co/image/ab67616d0000b2731e06b7544c8781302a1b3115
124,Lucia Micarelli,,https://i.scdn.co/image/ab6761610000e5eb5e837245773b68496d908407
125,Charlotte Church,,https://i.scdn.co/image/ab6761610000e5eb432a12de532268c0f74452c5
